temperature_c,wind_speed_mps,solar_radiation_wm2,battery_level_percent,hour,solar_power_kwh,wind_power_kwh,energy_demand_kwh
-14.9,19.23,0.0,37.25,0,3.99,50.33,62.4
-41.38,10.92,0.0,85.1,0,0.0,28.77,120.42
-33.45,16.89,168.57,37.37,14,37.75,48.8,140.61
-40.64,17.73,0.0,63.36,1,3.78,50.28,120.02
-18.98,13.55,0.0,97.46,21,0.0,40.13,94.99
-14.39,31.73,181.01,31.83,15,34.15,87.75,104.73
-7.97,0.56,105.03,95.27,7,15.92,7.33,76.0
-27.47,27.38,395.25,34.63,12,92.04,80.82,133.35
-8.94,4.35,0.0,65.4,20,0.0,10.44,70.92
-9.88,27.91,0.0,50.16,0,1.17,83.2,60.0
-32.31,21.56,192.65,97.19,15,40.09,72.78,147.02
-10.24,29.51,0.0,41.88,6,0.0,78.59,67.36
-29.97,3.41,0.0,51.97,4,0.0,19.6,106.94
-33.13,19.56,0.0,98.63,21,0.0,51.27,114.1
-19.04,17.54,0.0,62.92,22,3.4,57.57,84.33
-31.86,24.72,0.0,60.21,2,5.97,65.94,111.29
-19.79,18.7,168.27,40.62,11,37.17,56.95,105.06
-20.61,18.93,310.86,76.11,15,62.32,54.08,116.95
-22.46,15.04,0.0,21.15,18,1.99,31.4,104.48
-29.78,10.81,0.0,23.96,4,5.06,41.76,117.36
-23.06,16.88,0.0,67.95,21,3.89,41.89,86.81
-21.14,4.15,381.32,47.33,13,83.77,4.0,110.49
-23.17,33.65,0.0,96.27,4,0.0,90.38,89.37
-27.22,25.0,355.64,92.26,14,78.09,85.19,123.87
-44.41,33.34,147.17,77.1,16,37.28,85.83,162.63
-21.52,7.94,211.07,85.45,13,49.48,23.3,115.12
-38.26,30.78,0.0,73.39,19,0.0,79.45,138.88
-19.3,28.31,0.0,30.05,4,0.0,73.56,91.8
-14.63,23.7,293.82,81.24,11,62.71,56.76,102.34
-24.98,21.88,184.6,36.82,15,36.35,63.16,125.84
-23.31,11.08,331.76,45.88,15,78.39,30.06,112.41
-6.94,28.57,0.0,85.54,20,0.0,73.21,63.54
-11.11,17.55,0.0,62.92,6,1.96,54.38,70.41
-8.43,2.48,0.0,88.8,3,0.0,12.82,62.41
-12.45,10.95,0.0,37.04,0,0.0,33.1,60.0
-40.64,32.74,0.0,68.62,4,0.0,98.7,123.79
-39.04,29.77,0.0,26.7,22,2.18,81.26,129.7
-23.94,34.37,166.1,71.44,9,35.51,98.17,131.51
-35.16,21.98,0.0,81.0,21,0.0,59.47,120.94
-25.93,8.66,0.0,66.79,4,0.08,15.2,99.66
-29.23,5.7,0.0,41.3,3,0.0,17.28,110.3
-23.02,6.54,0.0,22.51,1,6.18,19.26,90.72
-15.12,0.69,0.0,29.56,19,0.0,1.75,91.4
-16.38,13.67,121.14,69.78,9,23.98,40.52,98.27
-24.15,6.7,0.0,94.75,18,7.9,27.23,111.18
-12.1,14.41,0.0,36.52,0,2.96,39.12,60.0
-27.77,32.72,0.0,78.8,23,0.0,85.87,103.4
-9.13,15.07,0.0,89.32,4,0.0,40.71,65.07
-42.15,30.73,238.76,61.67,12,54.42,85.22,169.85
-6.81,21.19,0.0,73.54,3,0.17,65.23,60.0
-18.81,8.65,174.26,85.2,15,41.9,24.86,117.61
-29.8,12.45,0.0,40.85,23,0.0,27.97,113.04
-37.11,2.94,136.18,43.75,15,32.76,13.06,141.52
-25.83,11.67,0.0,20.05,22,0.0,36.55,95.72
-37.22,23.71,0.0,97.05,1,0.0,67.03,127.28
-38.35,2.52,184.72,93.4,16,38.17,12.75,145.9
-20.31,7.19,0.0,81.17,19,0.0,26.83,102.91
-24.08,13.35,0.0,26.33,23,0.0,35.12,91.46
-18.2,34.37,244.87,55.8,11,58.43,90.84,112.28
-7.82,27.47,61.99,28.15,17,9.02,76.84,80.52
-23.71,25.67,0.0,21.27,2,0.0,75.1,94.74
-21.76,4.07,0.0,69.29,0,0.0,10.76,76.31
-41.41,27.33,0.0,96.87,0,4.09,70.59,120.41
-16.29,27.48,0.0,92.23,18,0.0,77.92,106.21
-29.0,21.04,246.52,75.74,10,51.95,46.71,147.33
-5.93,34.66,0.0,27.73,4,3.36,95.1,60.0
-12.07,11.38,345.72,41.93,11,75.82,36.97,109.86
-24.1,32.94,0.0,45.6,2,4.51,97.66,83.46
-40.07,32.02,0.0,81.05,0,0.0,67.1,120.51
-10.62,0.4,0.0,84.18,0,0.0,0.0,71.64
-13.01,15.75,54.89,50.81,7,17.42,47.7,89.05
-37.62,34.2,285.02,53.43,9,58.2,88.7,158.62
-33.19,3.61,364.11,23.56,10,84.24,7.88,143.49
-13.26,19.17,386.58,43.13,11,84.1,60.92,90.66
-37.59,34.26,352.64,56.1,12,79.32,93.02,155.87
-8.29,19.44,149.83,29.36,11,38.02,64.02,97.44
-28.02,6.64,266.72,56.26,13,60.4,14.14,132.58
-41.52,20.38,0.0,88.25,1,0.0,65.52,125.05
-12.37,7.16,0.0,66.51,18,2.25,20.25,89.74
-30.06,18.19,117.04,26.31,17,23.1,45.66,124.66
-23.94,2.59,0.0,35.33,2,1.09,15.73,91.65
-40.51,21.19,0.0,57.96,22,0.0,52.09,130.9
-44.9,18.09,121.55,48.92,16,26.86,45.88,161.58
-19.48,25.91,68.97,48.7,7,19.93,75.49,104.7
-24.39,22.07,244.02,62.34,9,52.49,62.28,121.83
-21.26,19.24,0.0,66.75,1,4.37,55.52,79.94
-13.25,24.14,0.0,83.75,18,12.37,65.38,87.69
-19.14,5.04,216.35,47.28,8,47.48,6.92,98.6
-38.01,20.84,0.0,84.44,6,2.46,54.44,127.85
-30.57,6.02,0.0,47.09,3,1.91,24.78,92.08
-8.76,32.39,0.0,24.43,20,0.9,82.67,64.74
-14.2,2.39,105.49,64.34,17,26.36,16.56,89.25
-22.73,15.06,222.94,67.03,12,48.05,44.06,122.31
-34.77,24.35,170.2,94.76,10,34.79,64.6,146.75
-32.92,16.03,0.0,78.08,23,0.0,32.87,104.42
-15.72,3.22,0.0,93.42,3,0.0,0.0,75.98
-10.95,19.37,0.0,92.67,20,3.61,52.1,65.78
-18.14,22.46,0.0,68.37,3,0.0,60.03,77.32
-12.62,24.63,106.3,62.22,9,24.37,69.67,85.94
-14.33,13.06,0.0,64.6,4,0.0,46.88,78.77
-39.01,19.73,79.31,98.27,8,14.97,58.47,145.41
-28.04,15.77,0.0,81.85,23,0.0,43.38,99.22
-38.88,23.52,0.0,28.5,2,5.45,73.16,117.15
-35.59,20.42,137.4,82.27,16,32.3,58.08,142.4
-10.23,18.4,0.0,33.64,2,10.66,61.12,73.75
-26.08,8.73,116.04,55.79,15,29.85,20.41,122.96
-23.59,0.07,0.0,36.84,3,5.36,0.0,94.14
-37.86,6.09,100.47,75.17,17,15.11,5.05,145.39
-32.51,4.1,238.05,90.18,16,45.3,10.85,141.86
-35.79,15.72,0.0,43.23,6,0.17,36.61,134.78
-36.75,21.43,0.0,26.56,23,0.0,52.51,116.43
-19.48,7.46,0.0,43.88,22,0.0,27.09,89.81
-34.72,32.87,0.0,73.79,4,10.11,81.7,139.71
-19.72,0.23,271.31,46.3,11,64.45,1.27,117.51
-42.66,27.03,230.1,42.25,16,46.88,75.18,173.49
-39.33,21.88,0.0,34.75,22,0.0,61.82,131.65
-34.02,13.07,203.16,59.8,12,40.62,44.9,138.77
-21.12,1.77,0.0,42.08,22,0.0,0.0,89.94
-17.97,21.96,0.0,78.48,2,0.0,69.8,73.5
-27.29,13.5,106.93,26.13,8,18.41,27.24,113.93
-27.17,32.77,243.91,73.12,16,58.18,95.66,125.92
-16.02,18.97,149.93,39.0,16,30.14,61.97,100.73
-44.37,32.89,0.0,59.14,19,2.59,67.77,143.13
-31.36,7.72,285.77,42.89,15,63.08,21.4,160.25
-12.25,25.4,0.0,77.82,21,3.75,70.42,78.41
-20.87,21.6,201.53,95.62,12,43.38,60.91,119.26
-31.51,25.88,0.0,93.37,18,0.0,82.73,128.7
-8.78,7.51,129.82,66.67,16,26.17,16.45,95.66
-14.1,23.27,0.0,57.01,3,0.0,58.05,86.04
-34.4,17.43,279.54,85.46,11,69.76,49.28,150.75
-19.19,26.0,76.19,74.67,8,17.07,79.55,101.85
-21.17,11.45,0.0,34.69,18,0.02,35.41,117.01
-28.95,31.15,456.43,85.67,11,103.94,87.43,134.42
-30.32,2.95,217.11,54.31,8,47.76,6.88,128.85
-31.26,28.25,0.0,35.12,6,4.49,67.06,126.12
-20.31,30.15,413.68,42.54,13,89.52,87.94,113.59
-27.3,28.6,0.0,41.4,19,0.0,84.31,97.45
-11.73,17.95,0.0,61.54,18,0.0,46.11,80.98
-18.22,15.34,173.3,38.75,14,45.53,40.16,117.65
-42.2,34.87,268.84,29.89,15,58.87,91.35,168.05
-19.39,8.02,0.0,29.9,20,0.0,27.66,102.74
-34.15,19.14,0.0,66.66,4,0.79,51.4,113.23
-21.29,23.47,0.0,78.78,2,0.0,64.82,96.1
-17.79,24.53,450.25,45.72,11,97.5,72.46,110.21
-35.77,7.14,0.0,22.77,19,1.24,21.95,137.53
-26.73,22.89,0.0,30.18,20,6.08,67.47,115.38
-37.39,28.64,0.0,93.18,3,0.41,81.24,109.62
-42.91,1.75,0.0,59.48,20,0.0,6.08,135.7
-29.86,31.9,0.0,56.29,22,0.0,90.45,98.66
-30.48,1.03,241.18,23.04,15,55.69,5.6,145.22
-5.18,12.46,0.0,78.29,6,0.0,37.9,60.0
-27.15,0.55,454.96,62.25,12,95.92,0.0,147.34
-31.66,2.7,0.0,36.17,20,0.85,3.98,119.02
-21.78,31.89,173.8,28.81,9,31.41,88.07,99.15
-41.45,12.42,0.0,50.67,6,0.0,37.49,135.15
-6.53,14.87,177.85,86.97,13,37.21,51.22,87.31
-19.6,7.54,0.0,89.22,4,3.51,16.23,88.51
-14.81,20.9,0.0,68.23,2,0.0,63.79,61.32
-38.18,20.82,0.0,78.2,22,4.75,54.88,129.82
-28.62,13.03,332.79,29.21,10,73.53,44.71,136.38
-28.09,11.66,200.01,67.05,10,51.11,44.12,123.4
-12.13,30.97,60.89,73.36,17,7.85,76.23,105.44
-44.95,13.41,222.67,36.06,14,55.46,35.59,166.02
-32.97,17.27,166.42,90.41,11,34.97,34.25,134.12
-5.75,9.92,106.0,35.6,8,29.22,17.64,60.0
-26.0,27.54,107.34,45.08,9,28.36,67.35,129.97
-29.7,13.91,295.47,69.64,11,53.6,42.69,135.11
-40.21,17.98,89.74,71.07,16,21.66,52.97,151.36
-6.03,8.87,0.0,75.95,5,3.99,29.64,60.0
-44.2,34.57,0.0,28.96,6,5.31,100.44,143.47
-15.51,10.2,463.89,87.96,13,97.35,31.47,125.17
-14.26,26.98,454.94,62.63,12,102.45,76.22,85.6
-35.25,14.96,65.04,57.71,7,15.09,41.1,126.5
-18.14,7.22,299.9,98.49,9,67.7,26.33,117.25
-41.28,27.99,215.57,79.23,8,51.42,78.45,159.47
-34.72,11.68,128.19,29.44,17,32.83,35.86,134.82
-13.48,30.28,0.0,80.52,1,0.0,70.8,67.28
-10.41,32.03,0.0,27.62,4,1.06,82.63,67.88
-20.66,30.09,0.0,22.2,4,0.16,90.13,87.79
-24.73,1.23,0.0,52.29,5,0.0,0.0,113.68
-38.63,27.56,0.0,99.49,18,0.0,68.8,146.36
-42.48,14.4,66.65,33.99,7,15.45,44.17,156.54
-40.29,30.58,318.83,73.81,15,67.73,85.63,159.68
-35.91,22.33,485.82,33.87,12,110.41,60.08,134.13
-31.33,29.18,0.0,77.98,0,5.08,90.76,96.0
-29.76,17.48,0.0,60.43,21,0.0,56.97,102.59
-31.15,18.73,0.0,74.4,19,5.27,51.32,120.54
-35.44,5.05,218.6,36.23,16,44.82,18.47,161.32
-24.61,27.44,0.0,79.65,6,3.59,63.4,106.38
-11.99,14.68,372.62,99.65,12,87.24,47.66,96.92
-33.81,17.5,0.0,73.25,3,0.0,42.48,122.7
-7.3,27.48,0.0,59.48,3,0.0,68.23,60.0
-10.07,20.96,0.0,93.85,5,0.0,47.98,63.24
-38.53,7.04,0.0,21.27,18,1.45,8.54,138.33
-13.55,20.66,413.0,78.39,11,98.72,64.33,102.58
-22.02,14.27,0.0,91.1,21,0.0,43.74,100.61
-22.34,16.43,0.0,24.93,6,0.4,41.41,102.26
-29.36,0.99,337.19,56.01,9,73.83,7.9,131.49
-24.95,7.35,0.0,36.38,18,0.0,17.01,110.66
-29.11,9.84,0.0,65.32,6,0.0,29.49,115.95
-23.41,24.95,0.0,71.96,2,0.0,66.97,81.4
-19.88,0.4,472.77,44.21,12,108.98,0.4,120.52
-18.03,14.31,199.7,56.8,12,49.3,34.62,107.05
-23.7,32.34,66.38,42.35,17,14.96,85.99,106.17
-16.14,3.92,0.0,49.55,19,0.0,14.24,89.81
-39.35,18.07,94.26,32.76,7,18.77,54.82,125.27
-36.52,27.53,128.6,90.84,8,28.65,74.6,150.8
-12.25,32.99,0.0,20.8,6,7.39,83.22,82.67
-32.1,26.14,0.0,90.59,0,0.0,88.02,109.93
-44.08,25.22,0.0,65.73,2,0.0,70.84,120.6
-38.85,28.93,451.87,46.53,12,97.82,82.88,151.26
-36.06,15.62,115.79,77.84,16,28.49,36.17,146.38
-6.71,28.2,0.0,60.62,23,0.0,86.25,60.0
-22.08,0.28,0.0,59.93,0,0.0,8.99,71.68
-7.69,32.36,0.0,28.81,5,1.89,80.36,60.0
-21.99,15.52,0.0,51.16,20,0.0,42.84,95.45
-25.83,19.37,0.0,39.29,5,0.0,53.15,91.56
-32.45,8.92,341.86,21.26,11,70.92,39.31,151.95
-20.75,25.99,498.42,48.81,12,106.22,81.43,120.99
-39.43,2.68,469.03,27.19,12,102.27,0.0,151.7
-9.07,30.54,197.05,40.55,14,43.53,81.14,100.69
-11.83,28.98,0.0,27.4,20,3.29,75.79,83.11
-32.3,7.56,169.33,28.08,15,32.34,23.4,142.96
-6.89,28.33,0.0,35.92,21,2.71,88.76,60.0
-11.99,27.52,0.0,99.99,20,0.0,77.71,73.33
-18.35,22.13,180.66,20.17,10,32.6,64.97,102.78
-40.13,13.07,0.0,71.09,4,0.05,32.61,118.86
-25.87,9.5,0.0,31.3,3,5.27,29.57,107.55
-24.76,8.11,0.0,93.65,2,3.53,19.88,86.92
-35.7,11.15,0.0,27.49,18,0.0,21.38,137.42
-41.8,31.62,0.0,96.41,19,4.5,91.12,138.68
-13.93,2.72,74.76,68.87,17,17.22,7.56,91.57
-40.12,29.01,273.58,20.1,14,64.11,74.64,182.46
-21.23,12.21,153.97,91.52,8,27.23,44.06,99.56
-7.54,18.26,227.11,61.74,16,44.97,46.53,94.9
-9.96,27.81,324.09,41.01,13,74.22,81.52,93.69
-33.89,30.95,271.75,81.38,14,65.94,84.48,151.38
-10.94,12.07,0.0,94.13,0,1.67,43.06,70.64
-44.99,16.16,0.0,58.7,20,0.0,43.82,150.5
-44.29,14.51,0.0,45.24,21,0.0,30.58,139.62
-20.9,0.46,0.0,83.12,21,0.0,6.15,89.49
-30.41,10.36,0.0,74.54,2,4.85,38.25,102.3
-29.54,16.07,140.06,91.1,15,29.44,42.43,149.49
-22.42,14.39,0.0,75.4,22,4.19,44.37,78.72
-37.33,25.27,143.87,39.48,10,34.26,71.53,134.69
-36.53,13.47,459.58,94.53,11,107.96,35.42,136.32
-25.62,17.13,269.61,28.39,9,60.12,53.01,112.21
-14.83,15.04,290.78,41.44,15,63.77,37.31,107.82
-20.22,25.92,67.05,61.62,7,19.14,72.77,104.58
-33.11,30.2,0.0,65.26,5,0.0,86.1,112.98
-27.79,18.62,232.65,21.22,11,49.41,53.46,130.5
-38.17,27.63,0.0,82.45,23,0.0,72.71,113.46
-42.01,10.39,0.0,48.93,20,0.0,41.45,133.57
-13.69,18.95,90.53,52.51,7,27.61,60.63,88.76
-34.38,12.08,0.0,84.75,3,2.77,39.77,122.43
-37.89,14.5,116.92,50.34,7,20.24,49.2,133.54
-17.34,25.63,48.37,23.78,17,15.42,72.18,114.23
-20.28,30.86,0.0,34.12,4,0.0,84.18,93.61
-19.67,4.25,164.77,96.47,8,38.81,5.37,114.67
-35.84,22.21,0.0,25.63,3,2.5,57.97,114.85
-35.69,20.38,0.0,48.39,21,6.66,50.98,135.68
-36.17,4.14,206.75,60.25,16,43.33,8.42,163.74
-38.05,7.42,203.25,59.46,8,41.75,22.43,139.07
-18.77,10.89,0.0,20.32,0,0.0,35.98,76.67
-11.08,5.84,0.0,60.09,20,0.0,21.67,66.14
-16.03,8.53,0.0,50.7,19,2.9,16.85,80.11
-13.32,9.37,396.95,97.77,12,90.78,30.37,91.63
-28.81,11.75,182.22,32.73,15,45.1,39.76,126.48
-18.84,26.23,234.76,48.33,12,52.81,71.92,115.03
-30.83,20.02,169.57,53.56,13,39.32,63.24,133.67
-23.98,34.52,0.0,51.26,2,0.27,101.91,91.32
-25.73,14.52,0.0,73.27,5,2.83,33.07,103.72
-37.92,26.39,60.07,37.24,17,9.48,87.04,142.66
-29.52,30.5,0.0,37.69,18,0.0,81.11,123.1
-6.45,23.76,0.0,78.34,4,0.0,72.27,60.0
-35.06,14.42,162.65,60.02,14,36.64,45.9,146.03
-39.65,26.38,0.0,53.21,1,0.0,66.52,116.76
-28.26,7.13,291.75,33.54,9,61.65,21.04,125.84
-13.39,11.46,0.0,35.0,23,0.0,37.54,63.07
-21.71,19.13,95.41,20.84,17,24.12,46.16,101.43
-17.76,20.14,178.41,27.31,12,41.89,56.99,115.21
-37.41,0.77,0.0,64.55,4,0.28,8.11,128.59
-20.24,33.08,0.0,91.35,22,1.8,98.97,94.69
-32.06,24.38,0.0,42.97,23,1.88,65.88,100.75
-11.63,17.35,0.0,46.22,0,0.0,57.85,60.0
-19.83,32.66,0.0,29.25,21,0.0,99.28,90.47
-37.05,15.37,0.0,51.09,0,6.15,44.48,114.11
-42.42,34.32,99.66,22.98,17,11.97,92.14,160.89
-43.29,17.93,139.52,93.41,14,27.73,43.21,170.61
-30.14,4.0,168.62,73.85,16,36.28,13.47,136.87
-34.37,26.77,141.33,99.26,10,33.33,83.74,154.02
-19.16,23.76,0.0,90.63,20,4.54,65.65,96.65
-25.03,27.05,0.0,57.84,21,7.43,70.59,101.3
-34.36,33.3,173.43,61.57,16,37.79,98.19,140.77
-39.03,27.18,247.81,35.25,12,54.42,77.15,156.26
-39.91,21.4,0.0,56.96,0,1.45,63.02,115.9
-10.41,30.01,0.0,92.24,1,0.0,80.88,60.0
-35.26,23.56,144.76,24.07,8,27.11,63.75,139.94
-18.93,14.28,0.0,89.08,2,0.0,36.8,88.05
-12.57,31.0,0.0,47.28,0,2.98,89.8,61.63
-20.44,7.77,0.0,91.96,20,0.0,19.72,107.01
-10.62,25.01,318.6,95.27,15,71.75,73.58,91.54
-29.3,30.85,0.0,73.67,22,0.0,82.65,90.1
-6.75,25.6,0.0,73.15,5,0.07,74.67,67.2
-39.67,24.4,96.33,56.22,16,19.58,72.54,150.17
-40.91,26.34,0.0,86.84,4,0.0,75.74,139.34
-18.65,16.28,0.0,96.93,4,2.63,51.09,72.08
-7.29,30.6,0.0,82.01,5,7.38,82.79,64.33
-12.64,7.12,0.0,69.75,2,3.96,24.09,60.0
-41.94,4.46,0.0,68.54,20,4.21,13.89,143.22
-33.83,9.99,0.0,87.96,22,2.85,23.11,121.83
-7.79,18.61,0.0,63.3,4,2.59,40.67,62.69
-34.88,17.87,0.0,84.31,20,0.0,39.88,126.63
-13.75,28.72,0.0,60.71,4,0.0,67.17,60.49
-11.99,14.16,121.27,25.0,9,28.71,42.2,95.22
-25.18,16.95,161.48,50.72,9,37.65,45.51,126.65
-29.55,0.47,0.0,55.56,18,5.09,1.84,115.32
-27.0,14.34,151.76,31.33,16,29.26,39.07,118.96
-35.92,22.67,0.0,28.2,20,2.43,66.97,136.95
-9.42,0.54,418.01,62.84,13,87.7,5.18,91.06
-26.98,9.83,204.05,26.81,8,44.04,27.78,111.05
-9.7,7.28,326.45,44.24,13,71.57,21.0,95.52
-40.77,1.47,0.0,79.57,0,3.45,4.98,121.2
-5.47,16.77,0.0,97.15,18,2.98,55.31,71.98
-27.27,6.36,398.11,77.43,12,88.07,5.78,128.08
-43.09,26.01,497.82,99.41,12,100.91,68.8,163.56
-43.48,29.68,0.0,75.87,3,1.78,88.3,142.95
-15.15,19.1,0.0,43.5,0,0.0,60.13,60.0
-18.64,34.36,222.76,73.76,16,54.57,98.77,112.17
-12.91,15.77,121.78,76.17,7,31.41,43.05,89.97
-40.79,17.97,0.0,49.74,1,0.0,61.49,120.76
-43.58,34.62,64.51,21.42,7,16.52,98.0,157.38
-24.66,8.1,0.0,76.26,6,2.41,22.86,95.92
-29.5,32.99,0.0,21.74,1,2.12,100.36,95.62
-26.52,1.5,0.0,70.5,21,1.6,7.05,97.14
-5.34,15.62,0.0,33.09,21,2.52,49.37,64.36
-6.17,2.45,0.0,65.25,2,6.01,13.2,60.0
-7.31,25.52,49.57,60.31,17,8.7,69.22,92.2
-13.65,21.29,203.0,21.08,11,41.04,70.22,97.18
-30.81,24.73,0.0,49.03,0,3.13,54.47,109.31
-28.51,13.11,0.0,68.09,21,0.0,24.83,111.95
-23.02,12.93,191.88,87.89,11,44.83,32.12,121.44
-11.78,1.59,0.0,91.09,4,1.91,1.91,62.38
-42.25,12.25,159.5,58.71,16,25.71,36.48,169.62
-28.03,32.53,158.6,78.27,15,32.35,86.95,127.14
-41.7,13.27,164.93,45.32,14,42.59,37.08,157.28
-24.41,29.1,0.0,47.37,22,0.0,80.25,102.0
-9.04,29.48,282.21,35.56,14,62.94,94.57,92.44
-13.7,13.06,0.0,64.96,4,0.0,31.74,82.27
-35.89,22.12,0.0,45.17,20,0.0,51.84,127.8
-5.96,3.34,476.47,26.75,13,112.49,16.07,79.9
-18.31,3.63,0.0,74.8,1,0.49,5.88,78.48
-44.58,1.7,282.58,76.62,10,64.24,4.21,161.22
-34.78,20.34,0.0,48.8,18,0.0,53.07,130.2
-34.57,14.91,0.0,26.14,6,0.0,46.17,132.05
-42.23,19.18,0.0,54.1,5,0.0,45.46,152.56
-6.61,18.24,0.0,55.39,1,4.71,34.28,60.0
-25.87,12.26,0.0,73.49,5,0.61,42.1,94.12
-9.17,23.71,102.32,45.23,17,19.43,67.87,81.95
-32.11,26.55,0.0,74.61,1,0.0,80.78,110.76
-39.99,0.51,79.33,89.72,17,20.1,9.0,153.04
-26.03,7.25,381.43,39.0,14,85.73,14.8,138.21
-40.44,24.96,0.0,98.31,18,0.0,70.25,152.95
-25.56,13.53,0.0,50.91,1,0.0,40.92,83.4
-8.19,23.19,0.0,41.38,19,0.0,64.28,68.07
-24.17,12.14,0.0,53.72,5,4.44,32.12,87.13
-20.34,13.68,0.0,27.55,0,3.42,37.02,90.52
-38.73,5.55,0.0,30.06,23,1.64,22.04,107.68
-43.25,9.04,196.74,53.15,14,42.6,23.76,156.27
-40.57,21.19,0.0,81.0,22,0.0,62.93,126.43
-21.06,15.16,341.38,92.02,9,74.49,44.53,113.84
-41.2,27.1,0.0,73.19,18,3.13,70.09,145.13
-29.96,29.84,120.66,28.42,16,30.59,85.36,129.72
-23.0,18.96,0.0,73.76,4,0.0,43.86,89.11
-29.45,26.54,0.0,70.83,3,10.14,76.72,104.58
-38.45,10.74,279.21,84.46,9,61.8,35.42,137.83
-34.05,14.52,0.0,86.02,23,0.0,47.38,105.74
-7.87,24.95,95.27,89.46,16,26.86,64.14,97.49
-17.96,13.52,280.78,53.13,9,53.62,34.64,105.73
-25.16,20.6,163.15,75.83,16,37.81,59.38,128.17
-44.49,6.49,0.0,41.46,19,0.0,15.32,152.34
-5.3,20.99,0.0,99.95,23,5.79,47.2,60.0
-18.14,30.15,0.0,34.03,4,2.42,81.17,84.84
-32.32,30.4,0.0,20.81,1,0.56,86.8,112.92
-9.83,25.35,0.0,31.9,5,2.65,77.39,73.39
-34.66,26.1,0.0,82.07,20,0.0,83.22,124.58
-23.24,19.53,0.0,55.74,1,3.87,55.43,94.77
-19.56,20.46,371.64,55.8,12,76.38,60.69,94.69
-36.16,4.68,266.39,96.4,10,60.04,18.87,153.42
-5.86,15.54,290.89,93.57,10,64.14,31.21,76.2
-15.07,15.78,290.62,44.9,15,56.88,38.07,107.17
-22.69,33.55,380.25,36.72,10,83.93,94.56,111.45
-37.78,15.09,0.0,87.88,18,1.13,51.59,131.16
-42.85,19.23,410.0,92.48,14,87.58,57.62,168.37
-32.2,18.66,0.0,63.33,22,0.0,54.23,100.1
-14.87,22.29,0.0,70.35,22,1.97,61.04,70.79
-34.23,26.19,272.23,40.55,15,61.34,75.89,138.4
-23.42,7.88,410.68,84.06,10,91.26,18.49,116.85
-15.88,18.51,0.0,70.57,21,0.04,47.15,86.31
-40.68,28.91,310.2,60.28,15,65.98,76.79,155.17
-17.59,16.21,101.22,24.81,7,31.36,53.43,95.21
-41.33,9.75,0.0,93.27,3,0.0,22.26,135.25
-6.39,22.91,60.73,69.24,7,9.9,61.76,63.2
-25.46,28.83,0.0,35.42,3,0.22,83.55,89.68
-38.97,2.21,0.0,68.51,23,0.0,0.91,135.1
-31.3,27.19,0.0,74.2,2,0.0,77.49,104.84
-28.46,28.76,0.0,62.06,2,7.5,81.88,103.3
-14.67,16.15,123.34,77.45,17,22.62,41.47,99.29
-15.26,34.42,0.0,66.52,18,0.15,94.82,82.65
-20.52,27.53,0.0,95.82,18,0.0,71.42,97.72
-40.76,27.08,0.0,24.3,20,0.0,84.12,142.02
-38.94,26.17,0.0,28.5,4,6.94,74.82,110.4
-41.25,5.27,56.32,33.89,17,13.52,8.46,152.06
-21.91,7.6,222.71,75.21,9,50.07,22.04,104.28
-9.91,16.24,0.0,71.65,21,0.0,46.5,75.69
-27.65,9.24,0.0,91.36,20,0.0,12.41,112.94
-38.57,14.53,0.0,78.63,5,7.29,48.73,139.38
-22.68,31.1,0.0,60.67,0,2.0,81.14,86.2
-12.53,28.85,0.0,99.35,4,0.0,93.32,67.93
-15.33,22.05,147.16,41.29,8,34.14,66.51,89.95
-9.74,30.03,169.32,86.66,11,38.32,77.32,86.99
-33.88,27.43,339.55,54.14,13,71.34,74.92,168.01
-37.24,15.01,0.0,71.9,1,0.0,47.56,124.39
-9.81,7.04,201.93,78.18,16,53.44,18.29,79.78
-18.7,18.0,266.73,70.7,13,60.25,57.47,134.25
-32.56,25.77,180.47,31.24,12,33.43,69.9,139.78
-15.31,15.27,110.38,55.44,8,26.32,42.28,94.91
-12.4,23.34,295.25,64.92,14,70.17,71.05,106.18
-20.4,3.3,0.0,87.92,21,0.0,12.86,77.58
-17.48,26.18,294.79,55.49,14,63.03,67.75,103.22
-29.99,28.44,0.0,93.5,23,5.82,82.24,117.57
-23.45,24.74,387.22,55.23,10,85.33,70.28,116.52
-24.03,33.85,204.39,63.9,15,44.39,89.31,130.44
-11.08,28.93,117.97,83.7,16,20.61,72.66,87.48
-11.4,31.61,0.0,66.65,3,4.28,76.92,62.73
-11.69,32.67,0.0,96.82,0,0.0,89.71,76.61
-44.56,28.05,48.92,72.83,7,2.08,78.22,155.53
-15.02,23.6,174.82,61.82,16,32.17,69.11,97.01
-14.65,0.2,0.0,21.89,2,0.0,5.48,63.38
-17.86,16.3,0.0,53.1,19,0.0,43.16,88.56
-14.75,19.99,202.72,43.94,14,40.93,55.47,113.77
-11.32,10.64,264.41,79.85,14,67.55,25.24,102.41
-26.19,11.13,0.0,36.66,23,2.83,31.69,86.84
-24.92,33.64,0.0,36.42,21,0.0,100.0,100.52
-40.01,31.21,441.25,35.16,13,95.82,87.99,159.49
-29.58,29.72,0.0,30.05,22,0.0,90.2,108.88
-19.27,14.21,246.81,44.88,13,48.39,45.5,109.57
-13.78,0.48,0.0,90.87,23,2.14,10.09,77.51
-36.31,2.81,0.0,81.99,1,0.0,8.64,115.87
